P,My,Mz,Width,Depth,D_rebar,w_g,d_g,numRebars,As_total,h,fc
0.0,0.4633506692289458,0.565347,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.07670378246434628,1.02428,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.2982849667634157,0.87082,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.1382504912645862,1.01278,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.4525015171397187,0.59033,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.17222640657235738,0.999834,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.49037561951391057,0.499666,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.49844944927269635,0.474914,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.11847550509336749,1.01809,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.36329814262560095,0.763702,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.019951851023016724,1.02533,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.4479679841710462,0.596579,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.06555747402365272,1.02489,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.35090209707998476,0.783773,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.07215821291656119,1.02456,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.36681159942410435,0.754527,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.28902373531743064,0.881675,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.46694952265337636,0.560287,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.07532082793410536,1.02439,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.313254824937294,0.843596,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.23684766851989353,0.959006,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.5366029764968818,0.362041,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.4207102025451349,0.653378,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.0650723574327311,1.02489,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.09528290942642381,1.0225,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.6005233905062042,0.131655,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.17329987377878706,0.999508,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.33946070094430403,0.802525,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.21844967290494507,0.97332,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
0.0,0.618412,0.100857,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.47334449641126486,0.557556,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.09587015601894894,1.05802,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.2560325742354485,0.957479,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.5609092167520735,0.308401,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.14063347183289954,1.04523,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
-0.16559432959136716,0.4002315852601459,0.707304,0.45,0.6,0.04,4.0,2,8,0.010053096491487338,3.0,-30
